常见问题,标准答案,分类
北京有哪些必去的景点,"北京必去的经典景点有：故宫博物院、八达岭长城、天安门广场、颐和园、天坛公园。如果时间充裕，还可以去圆明园、恭王府、南锣鼓巷、798艺术区等。",景点推荐
北京故宫门票多少钱,"故宫门票价格：旺季（4-10月）60元/人，淡季（11-3月）40元/人。周一闭馆，需要提前7天在官方网站预约。",景点推荐
八达岭长城怎么去,"去八达岭长城的方式有：1. 德胜门乘877路直达公交；2. 北京北站坐S2线火车；3. 参加一日游团；4. 自驾或打车。建议早去，避开人流。",交通指南
上海迪士尼门票价格,"上海迪士尼门票价格（仅供参考）：平日票约435元/人，高峰日票约599元/人，特别高峰日约719元/人。建议提前在官方APP购票，可以查看客流和抢快速通行证。",景点推荐
上海必去的景点有哪些,"上海必去景点：外滩（夜景最美）、东方明珠、豫园、迪士尼乐园、南京路步行街。其他推荐：上海博物馆、田子坊、朱家角古镇、新天地。",景点推荐
成都有什么好吃的,"成都必吃美食：火锅（蜀大侠、小龙坎）、串串香（钢管厂五区）、担担面、龙抄手、夫妻肺片、兔头（双流老妈）、钟水饺、冒菜。美食街推荐：锦里、建设路、玉林。",美食推荐
成都大熊猫基地门票,"成都大熊猫繁育研究基地门票55元/人。建议早上7:30-10:00去，这个时段熊猫最活跃。可以坐地铁3号线到熊猫大道站转公交。",景点推荐
西安兵马俑门票多少钱,"秦始皇兵马俑博物馆门票120元/人。建议请讲解员，1号坑最壮观。可以从西安坐游5路或高铁到临潼。",景点推荐
西安必吃美食,"西安必吃美食：肉夹馍、羊肉泡馍、凉皮、biangbiang面、臊子面、甑糕、红柳烤肉、酸梅汤。美食街推荐：回民街、永兴坊、大皮院、洒金桥。",美食推荐
厦门鼓浪屿怎么去,"去鼓浪屿需要从厦门坐船：1. 从轮渡码头出发（白天主要供游客）；2. 船票35元往返；3. 需要提前在微信公众号"厦门轮渡"预约；4. 航程约20分钟。",交通指南
厦门必去景点,"厦门必去景点：鼓浪屿、厦门大学、南普陀寺、环岛路、曾厝垵、沙坡尾、集美学村、胡里山炮台、植物园。",景点推荐
三亚好玩的地方有哪些,"三亚必去景点：亚龙湾（沙滩最好）、天涯海角、蜈支洲岛（潜水胜地）、南山寺（海上观音）、大东海。其他推荐：海棠湾、三亚湾椰梦长廊、呀诺达热带雨林。",景点推荐
三亚海鲜哪里吃,"三亚吃海鲜推荐：1. 第一市场：自己买海鲜找店加工，最实惠；2. 火车头海鲜广场；3. 春园海鲜广场。注意不要被路边拉客的忽悠。",美食推荐
杭州西湖要门票吗,"西湖本身是免费的！但周边部分景点收费：雷峰塔40元、灵隐寺（飞来峰45元+灵隐寺30元）、岳王庙25元。建议租自行车环湖骑行。",景点推荐
杭州必吃美食,"杭州必吃美食：西湖醋鱼、东坡肉、龙井虾仁、叫化童子鸡、片儿川、小笼包、葱包桧、定胜糕。推荐餐厅：楼外楼、知味观、奎元馆。",美食推荐
重庆洪崖洞要门票吗,"洪崖洞是免费的，不需要门票。建议晚上7点后去，开灯后夜景最美，像千与千寻的汤屋。就在解放碑附近，可以一起逛。",景点推荐
重庆火锅哪家好吃,"重庆火锅推荐：佩姐老火锅、周师兄火锅、楠火锅、杨记隆府、晓宇火锅。其实随便一家人多的火锅店味道都不会差！",美食推荐
旅游住哪里比较方便,"住宿建议选择市中心或地铁沿线的酒店，出行最方便。可以根据自己的预算选择：高端选品牌酒店，中端选全季、亚朵，经济选如家、汉庭，或者住民宿体验当地风情。",住宿推荐
学生旅游省钱攻略,"学生旅游省钱技巧：1. 带学生证，很多景点半价；2. 提前订机票酒店更便宜；3. 住青旅或民宿更经济；4. 错峰出行；5. 坐公共交通；6. 吃当地小吃比大餐厅便宜。",旅行贴士
一个人旅游安全吗,"一个人旅游注意安全：1. 提前告诉家人行程；2. 住正规酒店；3. 晚上不要去偏僻地方；4. 不要轻易相信陌生人；5. 保管好贵重物品；6. 保持手机有电。总体来说国内旅游还是很安全的。",旅行贴士
旅游带什么东西,"旅游必备物品清单：1. 身份证、学生证等证件；2. 充电宝、充电器；3. 换洗衣物、舒适的鞋子；4. 常用药品；5. 雨伞/防晒霜；6. 少量现金；7. 洗漱用品。",旅行贴士
最佳旅游季节,"不同城市最佳旅游时间不同：北京、西安春秋最好；三亚冬天避寒最佳；成都、重庆春秋适宜；杭州春天最美；厦门秋天最舒服。一般来说3-5月和9-11月是大部分地方的旅游黄金期。",旅行贴士
怎么规划旅游行程,"规划行程建议：1. 先确定目的地和时间；2. 列出必去景点；3. 按位置远近安排每天行程；4. 预留弹性时间；5. 订好交通和住宿；6. 查好当地美食。可以让我帮你规划哦！",行程规划
3天短途旅游推荐,"3天短途游推荐城市：1. 成都（市区+熊猫基地）；2. 西安（市区景点）；3. 厦门（鼓浪屿+环岛路）；4. 杭州（西湖+灵隐寺）；5. 重庆（市区网红打卡）。",行程规划
带孩子旅游去哪里好,"亲子游推荐目的地：1. 上海迪士尼；2. 三亚（海边玩沙）；3. 成都大熊猫基地；4. 北京（增长见识）；5. 广州长隆；6. 珠海长隆海洋王国。",行程规划
情侣旅游去哪里,"情侣旅游推荐：1. 三亚（浪漫海岛）；2. 厦门（文艺小清新）；3. 丽江（古城风情）；4. 杭州（西湖漫步）；5. 重庆（美食+夜景）；6. 大理（风花雪月）。",行程规划
乌镇怎么去,"从杭州去乌镇最方便：1. 杭州客运中心/火车东站汽车站坐直达大巴，车程约1.5小时；2. 高铁到桐乡站转公交K282；3. 自驾约1.5小时。建议玩1-2天，西栅夜景很美。",交通指南
张家界好玩吗,"张家界非常值得一去！主要看点：1. 国家森林公园（阿凡达取景地）；2. 天门山（玻璃栈道）；3. 大峡谷玻璃桥。建议玩3-4天，门票248元（4天有效）。",景点推荐
丽江旅游攻略,"丽江必去：丽江古城、玉龙雪山、束河古镇、泸沽湖（较远，建议2天）。注意：古城维护费50元，玉龙雪山大索道票要提前抢。海拔高，注意高反。",景点推荐
大理必去景点,"大理必去景点：洱海（环海骑行）、大理古城、双廊、苍山、崇圣寺三塔。建议安排2-3天，可以租电动车环洱海。",景点推荐
桂林山水甲天下,"桂林必玩：漓江游船（桂林到阳朔）、阳朔西街、遇龙河漂流、象鼻山、两江四湖。最佳季节是4-10月，建议玩3-4天。",景点推荐
九寨沟值得去吗,"九寨沟非常值得一去，被誉为"童话世界"。主要看：五花海、五彩池、诺日朗瀑布、长海等。门票+观光车约250元。建议玩1-2天，秋天最美。",景点推荐
西藏旅游注意事项,"去西藏注意：1. 预防高原反应，提前吃红景天；2. 刚到不要剧烈运动；3. 带好防晒用品，紫外线很强；4. 尊重当地宗教习俗；5. 最佳季节是5-10月；6. 带好身份证，很多地方要检查。",旅行贴士
新疆旅游安全吗,"新疆旅游是安全的，治安很好。需要注意：1. 地域辽阔，景点之间距离远，建议预留充足时间；2. 带好身份证，安检多；3. 时差2小时；4. 瓜果很甜不要贪吃；5. 最佳季节是6-10月。",旅行贴士
旅游保险需要买吗,"建议购买旅游保险，尤其是：1. 出国游；2. 户外探险游；3. 长途旅行。旅游险一般包含意外、医疗、航班延误等保障，价格不贵，买个安心。",旅行贴士
怎么订酒店便宜,"订酒店省钱技巧：1. 提前预订更便宜；2. 多平台比价（携程、美团、飞猪等）；3. 成为会员有优惠；4. 周末和节假日价格上涨；5. 新用户注册有优惠券；6. 民宿有时比酒店划算。",住宿推荐
青旅安全吗,"正规青旅是安全的，但要注意：1. 选择评分高、评价好的青旅；2. 贵重物品锁好或租 locker；3. 男女混住的话注意保护隐私；4. 晚上锁好门。总体来说年轻人住青旅是很好的体验。",住宿推荐
穷游怎么玩,"穷游攻略：1. 坐火车比飞机便宜；2. 住青旅或民宿；3. 吃当地小吃；4. 很多博物馆、公园免费；5. 学生证半价；6. 错峰出行；7. 提前做攻略。",旅行贴士
第一次旅游去哪里好,"第一次旅游推荐：1. 北京（经典必去）；2. 上海（国际化大都市）；3. 成都（美食+熊猫，休闲轻松）；4. 厦门（文艺小清新，节奏慢）；5. 西安（历史文化，景点集中）。",行程规划
拍照好看的旅游地,"拍照圣地推荐：1. 厦门鼓浪屿（文艺清新）；2. 茶卡盐湖（天空之镜）；3. 重庆洪崖洞（魔幻夜景）；4. 大理洱海（蓝天白云）；5. 张家界（奇山异石）；6. 上海外滩（都市风光）。",景点推荐
冬天适合去哪里旅游,"冬季旅游推荐：1. 三亚/海南（避寒）；2. 哈尔滨（冰雪大世界）；3. 长白山（滑雪+天池）；4. 丽江/大理（气候温和）；5. 厦门（温暖如春）。",行程规划
夏天适合去哪里旅游,"夏季旅游推荐：1. 青岛/大连（海边避暑）；2. 青海湖（油菜花+蓝天）；3. 贵州（凉爽+瀑布）；4. 云南（四季如春）；5. 内蒙古（草原）；6. 长白山（避暑胜地）。",行程规划
美食最多的城市,"中国美食城市TOP：1. 成都（川菜、火锅）；2. 重庆（火锅、小面）；3. 广州（早茶、粤菜）；4. 西安（小吃之都）；5. 长沙（湘菜、臭豆腐）；6. 武汉（热干面、鸭脖）。",美食推荐
一个人的旅行去哪好,"一个人旅行推荐：1. 成都（悠闲舒适）；2. 厦门（文艺清新）；3. 丽江（邂逅故事）；4. 西安（历史厚重）；5. 重庆（魔幻8D城市）；6. 杭州（温婉秀丽）。",行程规划
去北京玩几天合适,"北京建议安排5-7天：Day1-2 市区经典景点（故宫、天安门、天坛、颐和园）；Day3 八达岭长城+明十三陵；Day4 圆明园+恭王府+南锣鼓巷；Day5 798+鸟巢水立方+购物。",行程规划
去上海玩几天合适,"上海建议安排3-4天：Day1 外滩+豫园+南京路；Day2 迪士尼乐园；Day3 东方明珠+上海博物馆+田子坊；Day4 朱家角古镇+新天地。时间紧的话2天也可以逛主要景点。",行程规划
成都玩几天比较合适,"成都建议安排3-5天：Day1 市区景点（熊猫基地+宽窄巷子+锦里）；Day2 武侯祠+杜甫草堂+春熙路；Day3 都江堰+青城山（一日游）；Day4-5 可以去峨眉山或乐山。",行程规划
西安玩几天合适,"西安建议安排3-4天：Day1 兵马俑+华清宫；Day2 陕西历史博物馆+大雁塔+大唐不夜城；Day3 城墙+钟鼓楼+回民街；Day4 华山一日游（可选）。",行程规划
厦门玩几天合适,"厦门建议安排3-4天：Day1 鼓浪屿一日游；Day2 南普陀+厦大+环岛路骑行+曾厝垵；Day3 沙坡尾+植物园+中山路；Day4 集美学村+鳌园。轻松休闲游。",行程规划
三亚玩几天合适,"三亚建议安排4-5天：Day1 亚龙湾+热带天堂森林公园；Day2 蜈支洲岛一日游；Day3 南山寺+天涯海角；Day4 海棠湾免税店+三亚湾看日落；Day5 休闲躺平。",行程规划
